                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3512,                 4.2745,                 4.3962,                  2e-05,                0.00135,                  1e-05,                      0,                 2.6214,                 4.7502,                 4.1624,             0.00029997,             0.00029997,             0.00029997
                      2,                 3.0464,                 3.3274,                 3.7419,                  2e-05,                  0.002,                  3e-05,                      0,                 2.5896,                 4.8454,                 4.2235,               0.000605,               0.000605,               0.000605
                      3,                  2.819,                 2.9073,                 3.2439,                  2e-05,                  0.002,                  2e-05,                      0,                 2.5753,                 4.9065,                  4.309,             0.00090387,             0.00090387,             0.00090387
                      4,                 2.5674,                 2.7388,                 2.9719,                  2e-05,                  0.002,                  2e-05,                      0,                 2.6101,                 4.8496,                  4.322,               0.001078,               0.001078,               0.001078
                      5,                 2.2795,                 2.4935,                 2.7629,                0.25343,                0.08041,                0.16581,                0.07282,                 2.2025,                 4.0973,                 3.0649,               0.001078,               0.001078,               0.001078
                      6,                 2.1391,                  2.323,                 2.6049,                0.65235,                0.15141,                0.34662,                0.12861,                 1.9962,                 3.2394,                 2.6103,               0.001067,               0.001067,               0.001067
                      7,                 2.0231,                  2.135,                   2.44,                0.64447,                0.46741,                0.57101,                0.29216,                 1.7134,                 2.5206,                 2.3774,               0.001056,               0.001056,               0.001056
                      8,                 1.8569,                 1.9842,                 2.2938,                0.55071,                0.51532,                0.57151,                0.31161,                 1.6355,                 2.2486,                 2.1754,               0.001045,               0.001045,               0.001045
                      9,                 1.7388,                  1.842,                  2.163,                0.46665,                0.59885,                0.57038,                0.34801,                 1.4088,                 1.9496,                 1.8666,               0.001034,               0.001034,               0.001034
                     10,                 1.6726,                 1.7551,                 2.0908,                0.42087,                0.53994,                0.53507,                0.33444,                 1.3127,                 2.2428,                 1.8118,               0.001023,               0.001023,               0.001023
                     11,                 1.5857,                  1.667,                 1.9903,                0.46847,                0.51136,                0.52385,                0.31168,                 1.2983,                 2.1302,                 1.7691,               0.001012,               0.001012,               0.001012
                     12,                   1.54,                 1.5963,                 1.9736,                0.56437,                0.63729,                0.68162,                0.44313,                 1.2855,                 1.7068,                 1.7163,               0.001001,               0.001001,               0.001001
                     13,                 1.5178,                 1.5595,                 1.9039,                0.74065,                0.75298,                0.79866,                0.48181,                 1.3567,                 1.4338,                 1.7282,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.5314,                 1.5574,                   1.91,                0.47963,                0.48983,                0.48681,                0.27704,                 1.4241,                 3.3574,                 1.8066,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.4963,                 1.4783,                  1.876,                0.55714,                0.61089,                0.63676,                0.43313,                 1.2253,                 1.7946,                 1.6759,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.3777,                 1.3697,                 1.7744,                0.59323,                0.56294,                 0.6134,                0.37453,                 1.5466,                 2.3473,                 1.9748,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.3626,                 1.3563,                 1.7629,                 0.7612,                0.73158,                0.82718,                0.59793,                 1.0345,                 1.2965,                 1.4759,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.3013,                 1.3406,                 1.7091,                0.76552,                0.77833,                0.82488,                0.60056,                0.96375,                 1.4038,                 1.4147,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2693,                 1.2655,                 1.6571,                0.53865,                0.58822,                 0.6464,                0.46136,                 1.0114,                 1.8399,                 1.4454,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2541,                 1.2149,                 1.6341,                0.55038,                0.72811,                0.68383,                0.45831,                 1.0048,                 1.8166,                 1.4546,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.1839,                 1.1818,                 1.5929,                0.83054,                0.80011,                 0.9023,                0.66255,                0.99255,                 1.2991,                 1.4216,             0.00090202,             0.00090202,             0.00090202
