epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6131,0.78918,1.60875,1.07651,0.92669,0.91598,0.97195,0.84305,0.53568,0.60078,0.90949,0.000363948,0.000363948,0.000363948
2,53.7058,0.69473,0.68114,1.02454,0.74209,0.77023,0.78936,0.61517,0.85672,1.01502,1.15593,0.000705204,0.000705204,0.000705204
3,78.1169,0.72182,0.65212,1.02787,0.78142,0.71473,0.87418,0.72464,0.658,0.98665,1.02998,0.00101713,0.00101713,0.00101713
4,99.9299,0.71524,0.59892,1.03329,0.76524,0.86093,0.88148,0.71457,0.6726,0.95506,1.05703,0.000979013,0.000979013,0.000979013
5,121.557,0.66597,0.5376,1.00764,0.9602,0.99522,0.99393,0.87954,0.54037,0.41457,0.95228,0.000935018,0.000935018,0.000935018
6,144.583,0.64106,0.5016,1.00007,0.96737,0.98405,0.99355,0.86647,0.54904,0.40338,0.94773,0.000891022,0.000891022,0.000891022
7,167.652,0.64281,0.4837,1.00105,0.98832,0.98953,0.99414,0.88691,0.50063,0.40303,0.92322,0.000847026,0.000847026,0.000847026
8,189.348,0.64788,0.49131,1.00127,0.96924,0.97651,0.99335,0.87828,0.51067,0.37073,0.91607,0.000803031,0.000803031,0.000803031
9,211.038,0.61472,0.45252,0.9867,0.99136,0.99453,0.9932,0.88998,0.50668,0.3512,0.94289,0.000759035,0.000759035,0.000759035
10,234.521,0.60085,0.42714,0.97524,0.9808,0.99055,0.99328,0.90796,0.47203,0.33765,0.91204,0.00071504,0.00071504,0.00071504
11,256.843,0.58047,0.41513,0.97152,0.99543,0.99683,0.99491,0.90762,0.4659,0.30856,0.90351,0.000671044,0.000671044,0.000671044
12,278.955,0.56789,0.40696,0.95716,0.99252,0.98894,0.99467,0.90871,0.45961,0.30975,0.8939,0.000627048,0.000627048,0.000627048
13,301.47,0.56607,0.40272,0.96782,0.99744,0.99883,0.995,0.91138,0.44409,0.28614,0.88093,0.000583053,0.000583053,0.000583053
14,325.053,0.55773,0.3886,0.96117,0.98951,0.99945,0.99496,0.91581,0.45636,0.28385,0.90491,0.000539057,0.000539057,0.000539057
15,346.713,0.53551,0.37318,0.95613,0.99332,0.99942,0.99489,0.9206,0.44207,0.27352,0.89093,0.000495062,0.000495062,0.000495062
16,370.946,0.40253,0.27802,0.85055,0.99341,0.99665,0.99494,0.91938,0.44641,0.28764,0.87754,0.000451066,0.000451066,0.000451066
17,394.117,0.40134,0.27507,0.84859,0.99783,0.99085,0.99494,0.92127,0.43194,0.26781,0.89162,0.00040707,0.00040707,0.00040707
18,416.097,0.38781,0.26493,0.8501,0.9977,0.99921,0.995,0.93284,0.40731,0.25257,0.87501,0.000363075,0.000363075,0.000363075
19,437.592,0.37566,0.25115,0.8363,0.99823,0.99726,0.995,0.9342,0.41001,0.24711,0.8778,0.000319079,0.000319079,0.000319079
20,459.776,0.36556,0.24284,0.8383,0.99653,0.9956,0.9949,0.93789,0.40671,0.2489,0.88592,0.000275084,0.000275084,0.000275084
21,483.253,0.35417,0.23401,0.84126,0.9983,0.99328,0.995,0.93535,0.40477,0.23263,0.88298,0.000231088,0.000231088,0.000231088
22,505.276,0.34444,0.22585,0.82877,0.99543,0.99277,0.99496,0.93704,0.39222,0.23181,0.86487,0.000187092,0.000187092,0.000187092
23,526.772,0.32822,0.2158,0.82491,0.99796,0.99718,0.995,0.9414,0.38338,0.23006,0.86466,0.000143097,0.000143097,0.000143097
24,548.566,0.3195,0.20941,0.82095,0.99706,0.9988,0.995,0.93662,0.38399,0.21683,0.86733,9.91012e-05,9.91012e-05,9.91012e-05
25,572.033,0.31315,0.20359,0.81832,0.99788,0.99842,0.995,0.94184,0.3679,0.21042,0.86622,5.51056e-05,5.51056e-05,5.51056e-05
